parameter_name	description	category	targeted_group
C119	Ratio of no bud	cell wall	global
C120	Ratio of small bud	cell wall	global
C121	Ratio of medium bud	cell wall	global
C122	Ratio of large bud	cell wall	global
C123	Ratio of small bud to budded cells	cell wall	global
C124	Ratio of medium bud to budded cells	cell wall	global
C125	Ratio of large bud to budded cells	cell wall	global
A105	Actin A ratio	actin	global
A106	Actin B ratio	actin	global
A107	Actin api ratio	actin	global
A108	Actin iso ratio	actin	global
A109	Actin E ratio	actin	global
A110	Actin F ratio	actin	global
A111	Actin E ratio	actin	global
A112	"Actin B, C or D ratio"	actin	global
A113	No actin patch found ratio	actin	global
A114	Actin A ratio on no bud cells	actin	global
A115	Actin B ratio on no bud cells	actin	global
A116	Actin api ratio on no bud cells	actin	global
A117	Actin iso ratio on no bud cells	actin	global
A118	Actin E ratio on no bud cells	actin	global
A119	Actin F ratio on no bud cells	actin	global
D199	Ratio of A (Nuclear)	nucleus	global
D200	Ratio of A1 (Nuclear)	nucleus	global
D201	Ratio of B (Nuclear)	nucleus	global
D202	Ratio of C (Nuclear)	nucleus	global
D203	Ratio of D (Nuclear)	nucleus	global
D204	Ratio of E (Nuclear)	nucleus	global
D205	Ratio of F (Nuclear)	nucleus	global
D206	Ratio of A (Nuclear) to no bud cells	nucleus	global
D207	Ratio of A1 (Nuclear) to budded cells	nucleus	global
D208	Ratio of B (Nuclear) to budded cells	nucleus	global
D209	Ratio of C (Nuclear) to budded cells	nucleus	global
D210	"Ratio of A (Nuclear) to A, A1, B and C cells"	nucleus	global
D211	"Ratio of A1 (Nuclear) to A, A1, B and C cells"	nucleus	global
D212	"Ratio of B (Nuclear) to A, A1, B and C cells"	nucleus	global
D213	"Ratio of C (Nuclear) to A, A1, B and C cells"	nucleus	global
D214	"Ratio of A1 (Nuclear) to A1, B and C cells"	nucleus	global
D215	"Ratio of B (Nuclear) to A1, B and C cells"	nucleus	global
D216	"Ratio of C (Nuclear) to A1, B and C cells"	nucleus	global
C11-1_A	Mother cell size on nucleus A	cell wall	A (Nucleus)
C12-1_A	Contour length of mother cell on nucleus A	cell wall	A (Nucleus)
C13_A	Fitness in nucleus A	cell wall	A (Nucleus)
C103_A	Long axis length of mother cell on nucleus A	cell wall	A (Nucleus)
C104_A	Short axis length of mother cell on nucleus A	cell wall	A (Nucleus)
C115_A	Roundness of mother cell on nucleus A	cell wall	A (Nucleus)
C126_A	Unevenness of brightness on nucleus A	cell wall	A (Nucleus)
C127_A	Unevenness of cell wall thickness on nucleus A	cell wall	A (Nucleus)
A7-1_A	Actin region size in mother cell on nucleus A	actin	A (Nucleus)
A8-1_A	Actin region brightness in mother cell on nucleus A	actin	A (Nucleus)
A101_A	Actin region ratio on nucleus A	actin	A (Nucleus)
A105_A	Actin A ratio on nucleus A	actin	A (Nucleus)
A106_A	Actin B ratio on nucleus A	actin	A (Nucleus)
A113_A	No actin patch found ratio on nucleus A	actin	A (Nucleus)
A120_A	Total length of actin patch link on nucleus A	actin	A (Nucleus)
A121_A	Maximam actin patch length on nucleus A	actin	A (Nucleus)
A122_A	Number of actin patches on nucleus A	actin	A (Nucleus)
A123_A	Ratio of actin patch region to actin region on nucleus A	actin	A (Nucleus)
D14-1_A	Area of nucleus region in mother cell in nucleus A	nucleus	A (Nucleus)
D15-1_A	Sum of brightness in nucleus region in mother cell in nucleus A	nucleus	A (Nucleus)
D16-1_A	Maximum brightness of a nucleus in the mother cell	nucleus	A (Nucleus)
D17-1_A	Fitness to ellipse of the nucleus in the mother cell	nucleus	A (Nucleus)
D102_A	Distance from nuclear center to mother tip in nucleus A	nucleus	A (Nucleus)
D105_A	Ratio of D102 to C103 in nucleus A	nucleus	A (Nucleus)
D117_A	Distance from mother cell's center to nucleus in nucleus A	nucleus	A (Nucleus)
D127_A	Distance_between_nuclear_brightest_point_and_cell_tip	nucleus	A (Nucleus)
D135_A	Distance_between_nuclear_brightest_point_and_cell_center	nucleus	A (Nucleus)
D147_A	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	A (Nucleus)
D148_A	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	A (Nucleus)
D154_A	Angle_between_C1D1-1_and_C1C1-2_on_stage_A	nucleus	A (Nucleus)
D155_A	Angle_between_C1D2-1_and_C1C1-2_on_stage_A	nucleus	A (Nucleus)
D173_A	nucleus maximum radius in mother cell	nucleus	A (Nucleus)
D176_A	nucleus diameter in mother cell	nucleus	A (Nucleus)
D179_A	nucleus minimum radius in mother cell	nucleus	A (Nucleus)
D182_A	nucleus roundness in mother cell	nucleus	A (Nucleus)
D188_A	Distance_between_nuclear_gravity_center_and_brightest_point_on_stage_A	nucleus	A (Nucleus)
D191_A	Average of nuclear brightness in mother cell	nucleus	A (Nucleus)
D194_A	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	A (Nucleus)
C11-1_A1B	Mother cell size on nucleus A1B	cell wall	A1 & B (Nucleus)
C11-2_A1B	Area of daughter cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C12-1_A1B	Contour length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C12-2_A1B	Contour length of daughter cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C13_A1B	Fitness in nucleus A1B	cell wall	A1 & B (Nucleus)
C101_A1B	Cell size on nucleus A1B	cell wall	A1 & B (Nucleus)
C102_A1B	Contour length of cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C103_A1B	Long axis length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C104_A1B	Short axis length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C105_A1B	Neck position on nucleus A1B	cell wall	A1 & B (Nucleus)
C106_A1B	Bud growth direction on nucleus A1B	cell wall	A1 & B (Nucleus)
C107_A1B	Long axis length in bud on nucleus A1B	cell wall	A1 & B (Nucleus)
C108_A1B	Short axis length in bud on nucleus A1B	cell wall	A1 & B (Nucleus)
C109_A1B	Neck width on stage A1B	cell wall	A1 & B (Nucleus)
C110_A1B	Length from bud tip to mother cell's long axis on nucleus A1B	cell wall	A1 & B (Nucleus)
C111_A1B	Length from bud tip to mother cell's short axis on nucleus A1B	cell wall	A1 & B (Nucleus)
C112_A1B	Distance from neck to mother cell's center on nucleus A1B	cell wall	A1 & B (Nucleus)
C113_A1B	Distance from bud tip to mother cell's long axis along bud direction on nucleus A1B	cell wall	A1 & B (Nucleus)
C114_A1B	Roundness of bud on nucleus A1B	cell wall	A1 & B (Nucleus)
C115_A1B	Roundness of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
C116_A1B	Ratio of roundness of mother cell to that of bud in nucleus A1B	cell wall	A1 & B (Nucleus)
C117_A1B	Ratio of the countour length on nucleus A1B	cell wall	A1 & B (Nucleus)
C118_A1B	Ratio of the cell sizes on nucleus A1B	cell wall	A1 & B (Nucleus)
C123_A1B	Ratio of small bud to budded cells on nucleus A1B	cell wall	A1 & B (Nucleus)
C124_A1B	Ratio of medium bud to budded cells on nucleus A1B	cell wall	A1 & B (Nucleus)
C125_A1B	Ratio of large bud to budded cells on nucleus A1B	cell wall	A1 & B (Nucleus)
C126_A1B	Unevenness of brightness on nucleus A1B	cell wall	A1 & B (Nucleus)
C127_A1B	Unevenness of cell wall thickness on nucleus A1B	cell wall	A1 & B (Nucleus)
C128_A1B	Length from bud neck to the farthest point on mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
A7-1_A1B	Actin region size in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
A7-2_A1B	Actin region size in bud on nucleus A1B	actin	A1 & B (Nucleus)
A8-1_A1B	Actin region brightness in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
A8-2_A1B	Actin region brightness in bud on nucleus A1B	actin	A1 & B (Nucleus)
A9_A1B	Ratio of actin region to bud neck on nucleus A1B	actin	A1 & B (Nucleus)
A101_A1B	Actin region ratio on nucleus A1B	actin	A1 & B (Nucleus)
A102_A1B	Actin region ratio in bud	actin	A1 & B (Nucleus)
A103_A1B	Relative Distance of actin patch center from neck in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
A104_A1B	Relative Distance of actin patch center from neck in bud on nucleus A1B	actin	A1 & B (Nucleus)
A107_A1B	Actin api ratio on nucleus A1B	actin	A1 & B (Nucleus)
A108_A1B	Actin iso ratio on nucleus A1B	actin	A1 & B (Nucleus)
A109_A1B	Actin E ratio on nucleus A1B	actin	A1 & B (Nucleus)
A110_A1B	Actin F ratio on nucleus A1B	actin	A1 & B (Nucleus)
A112_A1B	"Actin B, C or D ratio on nucleus A1B"	actin	A1 & B (Nucleus)
A113_A1B	No actin patch found ratio on nucleus A1B	actin	A1 & B (Nucleus)
A120_A1B	Total length of actin patch link on nucleus A1B	actin	A1 & B (Nucleus)
A121_A1B	Maximam actin patch length on nucleus A1B	actin	A1 & B (Nucleus)
A122_A1B	Number of actin patches on nucleus A1B	actin	A1 & B (Nucleus)
A123_A1B	Ratio of actin patch region to actin region on nucleus A1B	actin	A1 & B (Nucleus)
D14-3_A1B	Area of nucleus region in nucleus A1B	nucleus	A1 & B (Nucleus)
D15-3_A1B	Sum of brightness in nucleus region in nucleus A1B	nucleus	A1 & B (Nucleus)
D16-3_A1B	Maximum brightness of nuclei	nucleus	A1 & B (Nucleus)
D17-3_A1B	Fitness to ellipse of the nucleus	nucleus	A1 & B (Nucleus)
D104_A1B	Distance from nuclear center to mothre tip in nucleus A1B	nucleus	A1 & B (Nucleus)
D107_A1B	Ratio of D104 to C103 in nucleus A1B	nucleus	A1 & B (Nucleus)
D110_A1B	Distance from neck to nucleus center in nucleus A1B	nucleus	A1 & B (Nucleus)
D114_A1B	Ratio_of_D110_to_C128_on_stage_A1B	nucleus	A1 & B (Nucleus)
D118_A1B	Distance from mother cell's center to nucleus center in A1B	nucleus	A1 & B (Nucleus)
D126_A1B	Distance_between_nuclear_gravity_center_and_mother_hip	nucleus	A1 & B (Nucleus)
D129_A1B	Distance_between_nuclear_brightest_point_and_mother_tip	nucleus	A1 & B (Nucleus)
D132_A1B	Distance_between_nuclear_brightest_point_and_middle_point_of_neck	nucleus	A1 & B (Nucleus)
D136_A1B	Distance_between_nuclear_brightest_point_and_mother_center	nucleus	A1 & B (Nucleus)
D142_A1B	Distance_between_nuclear_brightest_point_and_mother_hip_on_stage_A1B	nucleus	A1 & B (Nucleus)
D143_A1B	Nucleus border point close to neck in nucleus A1B	nucleus	A1 & B (Nucleus)
D145_A1B	Distance_between_nuclear_outline_point_C7_and_mother_hip_on_stage_A1B	nucleus	A1 & B (Nucleus)
D147_A1B	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	A1 & B (Nucleus)
D148_A1B	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	A1 & B (Nucleus)
D152_A1B	Mobility of nucleus in mother cell in nucleus A1B	nucleus	A1 & B (Nucleus)
